Thu Jan  1 01:10:51 1970,Port 1,Link failed
Thu Jan  1 01:10:51 1970,Port 1,Speed low
Thu Jan  1 01:10:51 1970,Port 3,Link failed
Thu Jan  1 01:10:51 1970,Port 3,Speed low
Thu Jan  1 01:13:49 1970,Port 1,Link failed
Thu Jan  1 01:13:49 1970,Port 1,Speed low
Thu Jan  1 01:13:49 1970,Port 3,Link failed
Thu Jan  1 01:13:49 1970,Port 3,Speed low
Thu Jan  1 01:14:19 1970,Port 1,Link failed
Thu Jan  1 01:14:19 1970,Port 1,Speed low
Thu Jan  1 01:14:19 1970,Port 3,Link failed
Thu Jan  1 01:14:19 1970,Port 3,Speed low
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Multicast error
Thu Jan  1 01:14:49 1970,chip,Multicast error
Thu Jan  1 01:14:49 1970,chip,Multicast error
Thu Jan  1 01:14:49 1970,chip,Multicast error
Thu Jan  1 01:14:49 1970,chip,Multicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Multicast error
Thu Jan  1 01:14:49 1970,chip,Broadcast error
Thu Jan  1 01:14:49 1970,chip,Multicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Unicast error
Thu Jan  1 01:14:49 1970,chip,Multicast error
